radius_2,radius_3,metric_name,mol_prop,split_type,nbit,p_value,stats_method
Radius: 2,Radius: 3,MAE,KOR,random,NumBits: 1024,0.07107896339534191,ttest_ind
Radius: 2,Radius: 3,MAE,KOR,random,NumBits: 1024,0.08366998691712503,ranksums
Radius: 2,Radius: 3,RMSE,MDR1,scaffold,NumBits: 2048,0.49519205726287674,ttest_rel
Radius: 2,Radius: 3,RMSE,MDR1,scaffold,NumBits: 2048,0.5716457836721114,wilcoxon
Radius: 2,Radius: 3,RMSE,MDR1,scaffold,NumBits: 2048,0.8183660634165334,ttest_ind
Radius: 2,Radius: 3,RMSE,MDR1,scaffold,NumBits: 2048,0.9646228051136889,ranksums
Radius: 2,Radius: 3,R2,MDR1,scaffold,NumBits: 2048,0.6192996425930963,ttest_rel
Radius: 2,Radius: 3,R2,MDR1,scaffold,NumBits: 2048,0.8612125197358381,wilcoxon
Radius: 2,Radius: 3,R2,MDR1,scaffold,NumBits: 2048,0.9112210168886274,ttest_ind
Radius: 2,Radius: 3,R2,MDR1,scaffold,NumBits: 2048,0.8941460645782624,ranksums
Radius: 2,Radius: 3,Pearson_R,MDR1,scaffold,NumBits: 2048,0.6851672888908653,ttest_rel
Radius: 2,Radius: 3,Pearson_R,MDR1,scaffold,NumBits: 2048,0.7655192919016102,wilcoxon
Radius: 2,Radius: 3,Pearson_R,MDR1,scaffold,NumBits: 2048,0.9312708501563998,ttest_ind
Radius: 2,Radius: 3,Pearson_R,MDR1,scaffold,NumBits: 2048,1.0,ranksums
Radius: 2,Radius: 3,MAE,MDR1,scaffold,NumBits: 2048,0.2313001418746688,ttest_rel
Radius: 2,Radius: 3,MAE,MDR1,scaffold,NumBits: 2048,0.38203416302245696,wilcoxon
Radius: 2,Radius: 3,MAE,MDR1,scaffold,NumBits: 2048,0.7005271546032508,ttest_ind
Radius: 2,Radius: 3,MAE,MDR1,scaffold,NumBits: 2048,0.8360239504893114,ranksums
Radius: 2,Radius: 3,RMSE,CYP2D6,scaffold,NumBits: 2048,0.07183624551806747,ttest_rel
Radius: 2,Radius: 3,RMSE,CYP2D6,scaffold,NumBits: 2048,0.1020106952499886,wilcoxon
Radius: 2,Radius: 3,RMSE,CYP2D6,scaffold,NumBits: 2048,0.7501836162515539,ttest_ind
Radius: 2,Radius: 3,RMSE,CYP2D6,scaffold,NumBits: 2048,0.8130052876119973,ranksums
Radius: 2,Radius: 3,R2,CYP2D6,scaffold,NumBits: 2048,0.09093880394547123,ttest_rel
Radius: 2,Radius: 3,R2,CYP2D6,scaffold,NumBits: 2048,0.12044472790832522,wilcoxon
Radius: 2,Radius: 3,R2,CYP2D6,scaffold,NumBits: 2048,0.5576706624649536,ttest_ind
Radius: 2,Radius: 3,R2,CYP2D6,scaffold,NumBits: 2048,0.5153597975802848,ranksums
Radius: 2,Radius: 3,Pearson_R,CYP2D6,scaffold,NumBits: 2048,0.22395061270245106,ttest_rel
Radius: 2,Radius: 3,Pearson_R,CYP2D6,scaffold,NumBits: 2048,0.2802144081140372,wilcoxon
Radius: 2,Radius: 3,Pearson_R,CYP2D6,scaffold,NumBits: 2048,0.6788861896657667,ttest_ind
Radius: 2,Radius: 3,Pearson_R,CYP2D6,scaffold,NumBits: 2048,0.5444075540129325,ranksums
Radius: 2,Radius: 3,MAE,CYP2D6,scaffold,NumBits: 2048,0.050985992601121674,ttest_rel
Radius: 2,Radius: 3,MAE,CYP2D6,scaffold,NumBits: 2048,0.07190333008390941,wilcoxon
Radius: 2,Radius: 3,MAE,CYP2D6,scaffold,NumBits: 2048,0.6211630649659843,ttest_ind
Radius: 2,Radius: 3,MAE,CYP2D6,scaffold,NumBits: 2048,0.5542678363243182,ranksums
Radius: 2,Radius: 3,RMSE,CYP3A4,scaffold,NumBits: 2048,0.5869359566513868,ttest_rel
Radius: 2,Radius: 3,RMSE,CYP3A4,scaffold,NumBits: 2048,0.14138951131633032,wilcoxon
Radius: 2,Radius: 3,RMSE,CYP3A4,scaffold,NumBits: 2048,0.9272401252247858,ttest_ind
Radius: 2,Radius: 3,RMSE,CYP3A4,scaffold,NumBits: 2048,0.8244957516547711,ranksums
Radius: 2,Radius: 3,R2,CYP3A4,scaffold,NumBits: 2048,0.8316761174587757,ttest_rel
Radius: 2,Radius: 3,R2,CYP3A4,scaffold,NumBits: 2048,0.17137638877502248,wilcoxon
Radius: 2,Radius: 3,R2,CYP3A4,scaffold,NumBits: 2048,0.9601771772421244,ttest_ind
Radius: 2,Radius: 3,R2,CYP3A4,scaffold,NumBits: 2048,0.7674679739607242,ranksums
Radius: 2,Radius: 3,Pearson_R,CYP3A4,scaffold,NumBits: 2048,0.45961482734948933,ttest_rel
Radius: 2,Radius: 3,Pearson_R,CYP3A4,scaffold,NumBits: 2048,0.24519030932096386,wilcoxon
Radius: 2,Radius: 3,Pearson_R,CYP3A4,scaffold,NumBits: 2048,0.8906142463751916,ttest_ind
Radius: 2,Radius: 3,Pearson_R,CYP3A4,scaffold,NumBits: 2048,0.7116726254873127,ranksums
Radius: 2,Radius: 3,MAE,CYP3A4,scaffold,NumBits: 2048,0.07087595592256221,ttest_rel
Radius: 2,Radius: 3,MAE,CYP3A4,scaffold,NumBits: 2048,0.06871363079688197,wilcoxon
Radius: 2,Radius: 3,MAE,CYP3A4,scaffold,NumBits: 2048,0.7994903954297066,ttest_ind
Radius: 2,Radius: 3,MAE,CYP3A4,scaffold,NumBits: 2048,0.7338250612126413,ranksums
Radius: 2,Radius: 3,RMSE,MOR,scaffold,NumBits: 2048,0.15351051542000427,ttest_rel
Radius: 2,Radius: 3,RMSE,MOR,scaffold,NumBits: 2048,0.0977721901049929,wilcoxon
Radius: 2,Radius: 3,RMSE,MOR,scaffold,NumBits: 2048,0.7967437782735115,ttest_ind
Radius: 2,Radius: 3,RMSE,MOR,scaffold,NumBits: 2048,0.5843624220907104,ranksums
Radius: 2,Radius: 3,R2,MOR,scaffold,NumBits: 2048,0.23688219668317795,ttest_rel
Radius: 2,Radius: 3,R2,MOR,scaffold,NumBits: 2048,0.12543823902980825,wilcoxon
Radius: 2,Radius: 3,R2,MOR,scaffold,NumBits: 2048,0.8086253779987251,ttest_ind
Radius: 2,Radius: 3,R2,MOR,scaffold,NumBits: 2048,0.7006856607005523,ranksums
Radius: 2,Radius: 3,Pearson_R,MOR,scaffold,NumBits: 2048,0.12120768400113613,ttest_rel
Radius: 2,Radius: 3,Pearson_R,MOR,scaffold,NumBits: 2048,0.12543823902980825,wilcoxon
Radius: 2,Radius: 3,Pearson_R,MOR,scaffold,NumBits: 2048,0.7702360865690617,ttest_ind
Radius: 2,Radius: 3,Pearson_R,MOR,scaffold,NumBits: 2048,0.6151959787448548,ranksums
Radius: 2,Radius: 3,MAE,MOR,scaffold,NumBits: 2048,0.02509083459057643,ttest_rel
Radius: 2,Radius: 3,MAE,MOR,scaffold,NumBits: 2048,0.025637124030657623,wilcoxon
Radius: 2,Radius: 3,MAE,MOR,scaffold,NumBits: 2048,0.7008045753829284,ttest_ind
Radius: 2,Radius: 3,MAE,MOR,scaffold,NumBits: 2048,0.6681063796183101,ranksums
Radius: 2,Radius: 3,RMSE,DOR,scaffold,NumBits: 2048,0.6377631227745681,ttest_rel
Radius: 2,Radius: 3,RMSE,DOR,scaffold,NumBits: 2048,0.6143145637885868,wilcoxon
Radius: 2,Radius: 3,RMSE,DOR,scaffold,NumBits: 2048,0.8913275699547237,ttest_ind
Radius: 2,Radius: 3,RMSE,DOR,scaffold,NumBits: 2048,0.6897609572758945,ranksums
Radius: 2,Radius: 3,R2,DOR,scaffold,NumBits: 2048,0.5661720703400525,ttest_rel
