model,metric_name,mol_prop,task,p_value,stats_method
RF,AUPRC,DOR,cutoff6,2.878599219394298e-06,wilcoxon
RF,AUPRC,DOR,cutoff6,1.410817586823145e-10,ttest_ind
RF,AUPRC,DOR,cutoff6,1.2555706904068687e-08,ranksums
RF,Precision_PPV,DOR,cutoff6,4.199404576297031e-06,ttest_rel
RF,Precision_PPV,DOR,cutoff6,4.449337283453103e-05,wilcoxon
RF,Precision_PPV,DOR,cutoff6,7.969559476148947e-08,ttest_ind
RF,Precision_PPV,DOR,cutoff6,2.894412287525995e-07,ranksums
RF,Precision_NPV,DOR,cutoff6,0.8458686179516857,ttest_rel
RF,Precision_NPV,DOR,cutoff6,0.8450804241615161,wilcoxon
RF,Precision_NPV,DOR,cutoff6,0.8389751251120794,ttest_ind
RF,Precision_NPV,DOR,cutoff6,0.7787839689422886,ranksums
RF,AUROC,KOR,cutoff6,0.0001659159167276382,ttest_rel
RF,AUROC,KOR,cutoff6,0.0005287248371505039,wilcoxon
RF,AUROC,KOR,cutoff6,2.8704964792348712e-05,ttest_ind
RF,AUROC,KOR,cutoff6,9.497303014292743e-05,ranksums
RF,AUPRC,KOR,cutoff6,0.00018189739878517988,ttest_rel
RF,AUPRC,KOR,cutoff6,0.000489690070533264,wilcoxon
RF,AUPRC,KOR,cutoff6,1.667301926200014e-05,ttest_ind
RF,AUPRC,KOR,cutoff6,5.101390926008103e-05,ranksums
RF,Precision_PPV,KOR,cutoff6,0.11518176565516458,ttest_rel
RF,Precision_PPV,KOR,cutoff6,0.1650265656246961,wilcoxon
RF,Precision_PPV,KOR,cutoff6,0.08044735804362181,ttest_ind
RF,Precision_PPV,KOR,cutoff6,0.2804704772772293,ranksums
RF,Precision_NPV,KOR,cutoff6,0.0015759558729734808,ttest_rel
RF,Precision_NPV,KOR,cutoff6,0.003609433349384215,wilcoxon
RF,Precision_NPV,KOR,cutoff6,0.0008779697008099768,ttest_ind
RF,Precision_NPV,KOR,cutoff6,0.005201921540448324,ranksums
molbert,AUROC,MDR1,cutoff6,0.03018045559614228,ttest_rel
molbert,AUROC,MDR1,cutoff6,0.04491890376548032,wilcoxon
molbert,AUROC,MDR1,cutoff6,0.019783086491116767,ttest_ind
molbert,AUROC,MDR1,cutoff6,0.10388865931791373,ranksums
molbert,AUPRC,MDR1,cutoff6,0.04331162893507534,ttest_rel
molbert,AUPRC,MDR1,cutoff6,0.06268281249957977,wilcoxon
molbert,AUPRC,MDR1,cutoff6,0.033914822009762355,ttest_ind
molbert,AUPRC,MDR1,cutoff6,0.1579756891505133,ranksums
molbert,Precision_PPV,MDR1,cutoff6,0.4544767157714742,ttest_rel
